D2 L2 F2 D U2 R2 U' R' F2 L' U F2 R B' L2 D' B2 L2 R2;z;R' L;y U' R U' R'
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y x;D R' U' L' z r' U' F U';z' r U R U' M U R' U'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y x;L U x' U' y x D' z' U L' B' y' l U;x L' U l F' L
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';z';u l u' x U2 l R z';U R U' R' F' R' F
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y' x;r' F U R U x y' x;U R U' R' F' R' F
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y' x;L R U' y';R2 U' R U R' U' R U
F' D' L' D L B F' L R' D' F2 D L R D' U2 L R F' R B2 F2 L F2 U';y2 z;R z R' D y' U2 R' F;U R U R' L U L'
R' F2 L B U L R D2 L' B' F2 U2 B' D U2 R2 F2 L2 R2 U2 F2 R' D F' U';z;R' D2 R' z F R2;y R U' R'
B L' R' U2 B F D U2 B F' L' R F2 U' B' F' R2 B L' R' D2 L2 R2 B2 F2;y x';L2' U' x' D R' L2;R' U2 R U2 L U L'
B' F2 U' B F' R B U R' D2 U2 L U2 F' D' U2 F2 L2 U F D' B U2 L R';y x2;R D2 R D' R D2;U' R U2 R2' U' R
D2 L R2 B2 D B2 F D' R B D U R' D' U' L' B2 F2 D' U B' D2 U R' B';x2;L d R' r U2 D' x' y';y' R U' R' U2 R' U' R
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;y2;U2 R' r F' U' l x';y' U2 R U' R'
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';x;L2' R2 D' R';y U2' R U R'
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x;F D R' D R' U R' F D';U R U' R' U2 L' U' L
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;x y2;L2' D' R2' F2;y U2' R U' R' U y U2 L U' L'
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;x y2;R' F D' R' L' D2';y U' L U L'
U2 L B' U' R U' L D2 L' D' B' U2 D2 R2 D2 F' U2 B R2 L2 D2;x;D L U D' F R' D;U' U y L' U L U2 L U L'
L2 R2 U' F2 U R2 F2 R2 D F D2 B' F2 D' R' U2 B2 L' R;x y';L D' R2' F D' R D;L U' L' U' R' U' R
B L U2 D2 B U' B L' B' D' R2 U2 L2 F R2 L2 B2 D2 F D2;x y;D R' L' F' D';L U U L' R U' R'
F2 U2 B2 L2 D2 U2 F' U2 L2 B' U F' L' R' B' F2 R D' L2 R2;y2;R' D' R' U x' D' L D;L' U L
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';x2 y;D U R' F R2 L y' D2' R';U2 y' R U R'
U2 B2 D2 B' L2 B U2 F2 R2 B' L' B F D F2 R D2 F' L' D B';x2 y';F R U' r' L' U x y' L;U R U2' R' L U' L' d U2 L U' L' R U' R'
U2 L2 U2 B2 U' B2 U2 B2 U F U B' U L' B U2 L2 B' D' B2;y x2;R' F D L D;R U R' d' R' U' R2
U2 R' U2 R F2 U2 B2 D2 L2 R F D2 R B L B2 F' D' F2 R;y x2;L F' U2 R;y' U' R' U R
F2 R' F2 L' B2 R D2 F2 L2 B R' D R' D2 L' U2 B' L2 R' D;x y2;L U D2' L' r' z' U R';R' U R U' y U' R' U' R
D' B2 L2 F2 R2 U2 R2 U' F2 U' B2 R B' L' B D' U2 B D F' D';y' x';D' U2 L' z' L' D R' D';y' R U R' y R U' R' U' y L' U' L
