, 2024-02-18 12:59:39,
0,2024-02-18 12:59:53,-132466
1,2024-02-18 13:01:23,-1242741
2,2024-02-18 13:02:18,-1926615
3,2024-02-18 13:04:11,-3319694
4,2024-02-18 13:04:25,-3487767
5,2024-02-18 13:05:06,-3990417
6,2024-02-18 13:06:01,-4658362
7,2024-02-18 13:06:03,-4675813
8,2024-02-18 13:06:07,-4715061
9,2024-02-18 13:06:12,-4766095
10,2024-02-18 13:06:15,-4797389
11,2024-02-18 13:06:19,-4836367
12,2024-02-18 13:06:46,-5156699
13,2024-02-18 13:06:47,-5164030
14,2024-02-18 13:07:56,-6007647
15,2024-02-18 13:08:14,-6234160
16,2024-02-18 13:08:34,-6470194
17,2024-02-18 13:09:10,-6906791
18,2024-02-18 13:10:18,-7744661
19,2024-02-18 13:10:45,-8071271
20,2024-02-18 13:10:52,-8153227
21,2024-02-18 13:11:54,-8915202
22,2024-02-18 13:13:16,-9911468
23,2024-02-18 13:13:17,-9925619
24,2024-02-18 13:13:35,-10131407
25,2024-02-18 13:13:42,-10214345
26,2024-02-18 13:13:59,-10407702
27,2024-02-18 13:14:06,-10488454
28,2024-02-18 13:14:52,-11053712
29,2024-02-18 13:14:56,-11099090
30,2024-02-18 13:15:01,-11147468
31,2024-02-18 13:15:22,-11400105
32,2024-02-18 13:15:46,-11685379
33,2024-02-18 13:16:47,-12426498
34,2024-02-18 13:17:16,-12777087
35,2024-02-18 13:19:37,-14462337
36,2024-02-18 13:20:13,-14900653
37,2024-02-18 13:21:03,-15523827
38,2024-02-18 13:21:44,-16016716
39,2024-02-18 13:22:20,-16451514
40,2024-02-18 13:24:32,-18078906
41,2024-02-18 13:24:45,-18230677
42,2024-02-18 13:28:30,-21012408
43,2024-02-18 13:28:45,-21197816
44,2024-02-18 13:28:46,-21195222
45,2024-02-18 13:28:56,-21308593
46,2024-02-18 13:28:58,-21323227
47,2024-02-18 13:29:10,-21466912
48,2024-02-18 13:30:18,-22308763
49,2024-02-18 13:30:25,-22379737
50,2024-02-18 13:31:00,-22798132
51,2024-02-18 13:33:23,-472747
52,2024-02-18 13:33:43,-713026
53,2024-02-18 13:33:46,-735932
54,2024-02-18 13:33:46,-726330
55,2024-02-18 13:34:29,-1258085
56,2024-02-18 13:34:57,-1612711
57,2024-02-18 13:35:01,-1651021
58,2024-02-18 13:37:21,-3390339
59,2024-02-18 13:38:13,-4040998
60,2024-02-18 13:38:40,-4369304
61,2024-02-18 13:39:15,-4804540
62,2024-02-18 13:39:17,-4821555
63,2024-02-18 13:39:21,-4862104
64,2024-02-18 13:40:10,-5455202
65,2024-02-18 13:40:10,-5450138
66,2024-02-18 13:43:14,-7757992
67,2024-02-18 13:43:58,-8306544
68,2024-02-18 13:44:01,-8331972
69,2024-02-18 13:44:47,-8900638
70,2024-02-18 13:45:08,-9157271
71,2024-02-18 13:45:09,-9156375
72,2024-02-18 13:45:14,-9212112
73,2024-02-18 13:45:42,-9542984
74,2024-02-18 13:46:11,-9905014
75,2024-02-18 13:46:14,-9933464
76,2024-02-18 13:46:16,-9941483
77,2024-02-18 13:48:19,-11495681
78,2024-02-18 13:48:34,-11672997
79,2024-02-18 13:48:50,-11861632
80,2024-02-18 13:49:52,-12643144
81,2024-02-18 13:49:56,-12677317
82,2024-02-18 13:50:06,-12792531
83,2024-02-18 13:52:03,-14263381
84,2024-02-18 13:52:37,-14689416
85,2024-02-18 13:52:40,-14713861
86,2024-02-18 13:53:17,-15170258
87,2024-02-18 13:53:19,-15187317
88,2024-02-18 13:53:43,-15479108
89,2024-02-18 13:53:45,-15488887
90,2024-02-18 13:54:36,-16128581
91,2024-02-18 13:55:43,-16953416
92,2024-02-18 13:55:49,-17024814
93,2024-02-18 13:55:52,-17051886
94,2024-02-18 13:57:35,-18342936
95,2024-02-18 13:58:40,-19141969
96,2024-02-18 13:59:42,-19911796
97,2024-02-18 13:59:48,-19980090
98,2024-02-18 14:00:07,-20210245
99,2024-02-18 14:00:31,-20505804
100,2024-02-18 14:03:18,-22379279
